feature,importance
total_day_minutes,0.222633278541048
number_customer_service_calls,0.10649041667643498
total_eve_minutes,0.08086603078058782
total_intl_minutes,0.0710516559254451
total_intl_calls,0.061471260637717615
total_night_minutes,0.056655805385887034
account_length,0.046740342545398016
total_day_calls,0.045282301971870866
total_night_calls,0.044499028127137776
total_eve_calls,0.04294206982687854
international_plan_yes,0.04104241979659722
international_plan_no,0.03764901936127235
number_vmail_messages,0.015028652148378343
voice_mail_plan_yes,0.00878603706012371
voice_mail_plan_no,0.008550530282813691
state_nj,0.004262804337061814
state_tx,0.004015448381702675
state_wv,0.003539541634618502
state_mt,0.003529145020483069
state_wa,0.0032463894444173607
state_md,0.003180564209153249
state_ut,0.0029621226360954443
state_oh,0.0028733636138561862
state_ca,0.002840017788572444
state_me,0.0027857288573278926
state_mn,0.002784214611003216
state_in,0.0025913124730911753
state_or,0.0025750460204915925
state_id,0.0024875636063643233
state_tn,0.0024812696669163727
state_ms,0.002478390014004736
state_ks,0.002439565736980335
state_sc,0.0024120114788628226
state_ny,0.002395335459906022
state_dc,0.0022589227076725013
state_ct,0.0022504181686110684
state_ma,0.0022226021901388623
state_ar,0.002148617045934092
state_ky,0.002130403128557055
state_az,0.0021184491753275777
state_mi,0.0021140759347932597
state_nv,0.0020918676031994117
state_co,0.001999928048913033
state_wy,0.0019028721490047982
state_nm,0.0019016842238064038
state_nd,0.0018981579563001737
state_vt,0.0018379189187038751
state_sd,0.001802353097599232
state_mo,0.0017781352972291544
state_nc,0.001726584621396082
state_ok,0.0016709936806397845
state_al,0.0016274613449004946
state_de,0.0016065976271672957
state_la,0.0015331267237759594
state_wi,0.0015000136411197104
state_fl,0.0014841846371888045
state_nh,0.001480727380104154
state_ga,0.001462844656693496
state_ri,0.0014168359318346255
state_il,0.001409298007034674
state_va,0.0013708142613257823
state_ne,0.0013122658665090617
state_ia,0.0012800034737642362
state_pa,0.0011107121813432963
state_hi,0.0010308760622422294
state_ak,0.0009515701986694295
