feature,importance,normalized_importance
total_day_minutes,0.2321608998804286,0.2321608998804286
number_customer_service_calls,0.10546535128914902,0.10546535128914902
total_eve_minutes,0.08220738172281936,0.08220738172281936
total_intl_minutes,0.07155513602007187,0.07155513602007187
total_intl_calls,0.06115462798962657,0.06115462798962657
total_night_minutes,0.05953761529756517,0.05953761529756517
total_day_calls,0.045509044681854835,0.045509044681854835
account_length,0.04474406392970042,0.04474406392970042
total_eve_calls,0.04302516781982271,0.04302516781982271
total_night_calls,0.04101923167751037,0.04101923167751037
international_plan_yes,0.03666811289533159,0.03666811289533159
international_plan_no,0.03421563855971107,0.03421563855971107
number_vmail_messages,0.016584381885641784,0.016584381885641784
voice_mail_plan_yes,0.010319275288371258,0.010319275288371258
voice_mail_plan_no,0.008550872455260778,0.008550872455260778
state_tx,0.0045245544627909385,0.0045245544627909385
state_mt,0.003664999830620561,0.003664999830620561
state_nj,0.0034704184048860733,0.0034704184048860733
state_me,0.00340118754909066,0.00340118754909066
state_wa,0.0031699291737569673,0.0031699291737569673
state_wv,0.003002321213910061,0.003002321213910061
state_mn,0.002948015939566118,0.002948015939566118
state_ca,0.0029204772672428827,0.0029204772672428827
state_ny,0.00278179640573507,0.00278179640573507
state_ut,0.00265230880561638,0.00265230880561638
state_ct,0.00262393936170987,0.00262393936170987
state_nv,0.0025996113121175084,0.0025996113121175084
state_tn,0.0025823993839154853,0.0025823993839154853
state_oh,0.0025308859769731006,0.0025308859769731006
state_mi,0.002476070177806249,0.002476070177806249
state_or,0.0024595850329322965,0.0024595850329322965
state_la,0.0023632845126169626,0.0023632845126169626
state_sc,0.002338736943540804,0.002338736943540804
state_md,0.002301267111841825,0.002301267111841825
state_az,0.0022946385718384775,0.0022946385718384775
state_ms,0.002131126093209712,0.002131126093209712
state_ma,0.0021183079442324017,0.0021183079442324017
state_ar,0.002114218482467378,0.002114218482467378
state_nc,0.002102743221035198,0.002102743221035198
state_vt,0.0020183023235507374,0.0020183023235507374
state_sd,0.0020039178962525657,0.0020039178962525657
state_wy,0.001941493676217666,0.001941493676217666
state_ks,0.001911275082801268,0.001911275082801268
state_co,0.0018952746351649887,0.0018952746351649887
state_fl,0.0018886869254657215,0.0018886869254657215
state_va,0.0017752575890141902,0.0017752575890141902
state_nd,0.0017042064498426807,0.0017042064498426807
state_in,0.0016885950754285508,0.0016885950754285508
state_id,0.0016719763621994316,0.0016719763621994316
state_dc,0.0016702344813939352,0.0016702344813939352
state_ok,0.001659344531672896,0.001659344531672896
state_nm,0.0016456271612468555,0.0016456271612468555
state_al,0.0016411488855950776,0.0016411488855950776
state_de,0.0016202478300885268,0.0016202478300885268
state_ia,0.001544529182755498,0.001544529182755498
state_ky,0.0015332706259517115,0.0015332706259517115
state_mo,0.0015146748231644502,0.0015146748231644502
state_ri,0.0013859278996307684,0.0013859278996307684
state_il,0.0013343164128747365,0.0013343164128747365
state_nh,0.001319220205869248,0.001319220205869248
state_pa,0.00129706230175492,0.00129706230175492
state_wi,0.0012648711100981093,0.0012648711100981093
state_ga,0.0011505892990212733,0.0011505892990212733
state_ne,0.001138126971357586,0.001138126971357586
state_hi,0.0011185056681143263,0.0011185056681143263
state_ak,0.00037369202115393956,0.00037369202115393956
