"term","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",0.14909271790855,0.010879187094764,0.127806708850401,0.170938731717313
"kkEQ5",-0.0139400278057252,0.0137337637408208,-0.0408889976477385,0.0126959589790546
"kkEQ10",0.0636480762044653,0.012375716770231,0.038895552849172,0.0876208387740837
"max_depth5",0.324588121433563,0.0152539105753774,0.294382487771544,0.353824139922669
"max_depthNone",0.666538794579929,0.0153026213019826,0.63635109959949,0.69612464181488
"kkEQ5:max_depth5",0.0277462556649381,0.0195007250562284,-0.0106498084542475,0.0655522130431331
"kkEQ10:max_depth5",-0.0416069476940096,0.0173181383090466,-0.0748338458022058,-0.00756432642801962
"kkEQ5:max_depthNone",0.0181406374751142,0.0193629414476327,-0.0198601283082726,0.0560723375687512
"kkEQ10:max_depthNone",-0.0564733287772015,0.0175333052394116,-0.0904179999011616,-0.0216609865081357
